panel,metric,protocol,model_name,k,mean,std,count
2b,same_peptide_recovery_auroc,peptide_balanced,onehot_composition,,0.5485551020408164,,1
2b,same_peptide_recovery_auroc,peptide_balanced,pretrained_esmc_meanpool,,0.5555020408163265,,1
2b,same_peptide_recovery_auroc,peptide_balanced,finetuned_esmc_meanpool,,0.5545632653061224,,1
2b,same_peptide_recovery_auroc,peptide_balanced,onehot_vicreg,,0.6652702040816326,0.0094979576050444,5
2b,same_peptide_recovery_auroc,peptide_balanced,raw_esmc_vicreg,,0.7123608163265306,0.0092472167205175,5
2b,same_peptide_recovery_auroc,peptide_balanced,finetuned_esmc_vicreg,,0.7070416326530612,0.0082539061720522,5
2c,same_peptide_knn_enrichment,peptide_balanced,onehot_composition,5.0,9.260394289824175,,1
2c,same_peptide_knn_enrichment,peptide_balanced,onehot_composition,10.0,5.953879720456451,,1
2c,same_peptide_knn_enrichment,peptide_balanced,onehot_composition,20.0,4.096055802616645,,1
2c,same_peptide_knn_enrichment,peptide_balanced,pretrained_esmc_meanpool,5.0,10.249379176095928,,1
2c,same_peptide_knn_enrichment,peptide_balanced,pretrained_esmc_meanpool,10.0,6.232760297445983,,1
2c,same_peptide_knn_enrichment,peptide_balanced,pretrained_esmc_meanpool,20.0,4.244211687023963,,1
2c,same_peptide_knn_enrichment,peptide_balanced,finetuned_esmc_meanpool,5.0,9.855791053544351,,1
2c,same_peptide_knn_enrichment,peptide_balanced,finetuned_esmc_meanpool,10.0,6.222319220167557,,1
2c,same_peptide_knn_enrichment,peptide_balanced,finetuned_esmc_meanpool,20.0,4.371463665276639,,1
2c,same_peptide_knn_enrichment,peptide_balanced,onehot_vicreg,5.0,15.741008222747308,1.1929788379975712,5
2c,same_peptide_knn_enrichment,peptide_balanced,onehot_vicreg,10.0,13.481074515643462,0.877273335898398,5
2c,same_peptide_knn_enrichment,peptide_balanced,onehot_vicreg,20.0,9.888964529851625,0.5302144468418415,5
2c,same_peptide_knn_enrichment,peptide_balanced,raw_esmc_vicreg,5.0,14.721440147244062,1.5049105657357567,5
2c,same_peptide_knn_enrichment,peptide_balanced,raw_esmc_vicreg,10.0,11.432810895492302,0.7451650177522323,5
2c,same_peptide_knn_enrichment,peptide_balanced,raw_esmc_vicreg,20.0,9.15734989721855,0.45608156275957235,5
2c,same_peptide_knn_enrichment,peptide_balanced,finetuned_esmc_vicreg,5.0,15.916471094573229,1.8380605230536489,5
2c,same_peptide_knn_enrichment,peptide_balanced,finetuned_esmc_vicreg,10.0,12.644952872766094,0.8295880403695863,5
2c,same_peptide_knn_enrichment,peptide_balanced,finetuned_esmc_vicreg,20.0,10.150527383425038,0.23745645377843277,5
2d,multicognate_recall@10,unique_pmhc_gallery,onehot_composition,10.0,0.011904761904761904,,1
2d,multicognate_recall@10,unique_pmhc_gallery,pretrained_esmc_meanpool,10.0,0.008658008658008658,,1
2d,multicognate_recall@10,unique_pmhc_gallery,finetuned_esmc_meanpool,10.0,0.29675324675324677,,1
2d,multicognate_recall@10,unique_pmhc_gallery,onehot_vicreg,10.0,0.5484848484848485,0.020342290288912514,5
2d,multicognate_recall@10,unique_pmhc_gallery,raw_esmc_vicreg,10.0,0.5092424242424242,0.03841835860520763,5
2d,multicognate_recall@10,unique_pmhc_gallery,finetuned_esmc_vicreg,10.0,0.46545454545454545,0.01871049056613198,5
