seed,split,model_name,k,purity_mean,purity_std,random_purity_expected,purity_enrichment,entropy_mean,entropy_std
31,immrep_test,onehot_composition,5,0.1604,0.2275782063379532,0.04809619238476955,3.3349833333333323,1.2921679955091905,0.32324361378357563
31,immrep_test,onehot_composition,10,0.1324,0.16428706583294986,0.04809619238476955,2.7528166666666656,1.7926932196156027,0.29740651171466703
31,immrep_test,onehot_composition,20,0.10610000000000001,0.11094047953745288,0.04809619238476955,2.205995833333333,2.21578193492814,0.24251080479987017
37,immrep_test,onehot_composition,5,0.184,0.26484712571594965,0.04809619238476955,3.8256666666666654,1.2334706161689737,0.3941275771041809
37,immrep_test,onehot_composition,10,0.1464,0.18035254364715791,0.04809619238476955,3.0438999999999994,1.7546407637964176,0.3284113318184258
37,immrep_test,onehot_composition,20,0.1157,0.12098971030629008,0.04809619238476955,2.4055958333333325,2.1882889657659397,0.26431816598068647
43,immrep_test,onehot_composition,5,0.18239999999999998,0.2530024505810171,0.04809619238476955,3.7923999999999984,1.256246896814237,0.38787315938839484
43,immrep_test,onehot_composition,10,0.15380000000000002,0.18581054867794777,0.04809619238476955,3.197758333333333,1.7435971805371728,0.36637063941204323
43,immrep_test,onehot_composition,20,0.12240000000000001,0.12640506318973146,0.04809619238476955,2.5448999999999993,2.1738712464012715,0.27465744470005143
49,immrep_test,onehot_composition,5,0.16519999999999999,0.2219661235414089,0.04809619238476955,3.434783333333332,1.267042772074012,0.32680390656324615
49,immrep_test,onehot_composition,10,0.139,0.15119193100162456,0.04809619238476955,2.890041666666666,1.7721087419951755,0.2946456721961775
49,immrep_test,onehot_composition,20,0.11180000000000001,0.10257075606623946,0.04809619238476955,2.3245083333333327,2.198628204739669,0.24825139452076603
55,immrep_test,onehot_composition,5,0.1748,0.25060917780480424,0.04809619238476955,3.6343833333333326,1.235235238018012,0.38953003224990385
55,immrep_test,onehot_composition,10,0.1484,0.19083354002900016,0.04809619238476955,3.0854833333333325,1.7301883766113524,0.363398490431389
55,immrep_test,onehot_composition,20,0.11910000000000001,0.12482063130748859,0.04809619238476955,2.4762874999999998,2.1663143786643837,0.26965536258146444
31,immrep_test,pretrained_esmc_meanpool,5,0.18,0.23949947807876326,0.04809619238476955,3.742499999999999,1.227985863317055,0.35588627524909894
31,immrep_test,pretrained_esmc_meanpool,10,0.14840000000000003,0.1873431076928105,0.04809619238476955,3.0854833333333334,1.7158742510123492,0.3575746060108732
31,immrep_test,pretrained_esmc_meanpool,20,0.12200000000000001,0.13155227098001768,0.04809619238476955,2.5365833333333327,2.1239302629039827,0.31443343229672754
37,immrep_test,pretrained_esmc_meanpool,5,0.1968,0.2847977528001231,0.04809619238476955,4.091799999999999,1.1800357349876458,0.4384225900145913
37,immrep_test,pretrained_esmc_meanpool,10,0.16260000000000002,0.22212888150801102,0.04809619238476955,3.3807249999999995,1.6506667724098911,0.4213999519375843
37,immrep_test,pretrained_esmc_meanpool,20,0.12890000000000001,0.1500326297843239,0.04809619238476955,2.680045833333333,2.0923007402747587,0.3159487111876661
43,immrep_test,pretrained_esmc_meanpool,5,0.20360000000000003,0.2746398368773183,0.04809619238476955,4.233183333333333,1.185268429950093,0.41263976072379455
43,immrep_test,pretrained_esmc_meanpool,10,0.17060000000000003,0.21706137380934454,0.04809619238476955,3.5470583333333328,1.6592694531432672,0.42279802297595653
43,immrep_test,pretrained_esmc_meanpool,20,0.13740000000000002,0.14778782087844722,0.04809619238476955,2.856775,2.0896755304988526,0.3397747847097127
49,immrep_test,pretrained_esmc_meanpool,5,0.184,0.2411306699696246,0.04809619238476955,3.8256666666666654,1.2111205051646772,0.3790296645395504
49,immrep_test,pretrained_esmc_meanpool,10,0.1526,0.17508066712232964,0.04809619238476955,3.172808333333333,1.7066061378268695,0.3634716647990774
49,immrep_test,pretrained_esmc_meanpool,20,0.122,0.1163872845288522,0.04809619238476955,2.5365833333333327,2.126009310253354,0.2960735324730053
55,immrep_test,pretrained_esmc_meanpool,5,0.18760000000000002,0.27350729423545544,0.04809619238476955,3.900516666666666,1.174689211549005,0.4302350384966461
55,immrep_test,pretrained_esmc_meanpool,10,0.16140000000000004,0.21663342309071332,0.04809619238476955,3.355775,1.6556652097899085,0.43254346934153387
55,immrep_test,pretrained_esmc_meanpool,20,0.12830000000000003,0.14496244341207828,0.04809619238476955,2.667570833333333,2.094946517132542,0.33101002129103124
31,immrep_test,finetuned_esmc_meanpool,5,0.164,0.234571950582332,0.04809619238476955,3.4098333333333324,1.2602598019373317,0.34133979064509434
31,immrep_test,finetuned_esmc_meanpool,10,0.1412,0.18757014687844117,0.04809619238476955,2.9357833333333323,1.7448593389485614,0.3841209635847959
31,immrep_test,finetuned_esmc_meanpool,20,0.11090000000000001,0.12683134470626733,0.04809619238476955,2.305795833333333,2.1789826139527086,0.2969172752710079
37,immrep_test,finetuned_esmc_meanpool,5,0.194,0.27225723130892227,0.04809619238476955,4.033583333333333,1.1980029666027903,0.42712833130627886
37,immrep_test,finetuned_esmc_meanpool,10,0.1502,0.20322391591542566,0.04809619238476955,3.1229083333333323,1.703829793824353,0.38604418066780644
37,immrep_test,finetuned_esmc_meanpool,20,0.1179,0.13459045285606255,0.04809619238476955,2.4513374999999993,2.148914665820035,0.2808168404511287
43,immrep_test,finetuned_esmc_meanpool,5,0.1856,0.26006276165572034,0.04809619238476955,3.858933333333332,1.2021891652777108,0.4001828641686838
43,immrep_test,finetuned_esmc_meanpool,10,0.159,0.20034719863277348,0.04809619238476955,3.305874999999999,1.6751675187283976,0.3871763670038294
43,immrep_test,finetuned_esmc_meanpool,20,0.1308,0.14248284107217962,0.04809619238476955,2.719549999999999,2.103356759583249,0.31639226991773206
49,immrep_test,finetuned_esmc_meanpool,5,0.1712,0.22797052441050358,0.04809619238476955,3.559533333333332,1.2528586197629543,0.3282024171743054
49,immrep_test,finetuned_esmc_meanpool,10,0.138,0.16110865898517063,0.04809619238476955,2.8692499999999996,1.7522796651578787,0.3206657277529703
49,immrep_test,finetuned_esmc_meanpool,20,0.11580000000000001,0.11636305255535366,0.04809619238476955,2.407675,2.1564976722507017,0.30100363137489256
55,immrep_test,finetuned_esmc_meanpool,5,0.1852,0.26717215423767504,0.04809619238476955,3.8506166666666655,1.1964538465204992,0.41580251963440057
55,immrep_test,finetuned_esmc_meanpool,10,0.1608,0.21527507983972508,0.04809619238476955,3.343299999999999,1.6498212369539669,0.4429675466907299
55,immrep_test,finetuned_esmc_meanpool,20,0.1298,0.13982832331112321,0.04809619238476955,2.6987583333333327,2.090753078336248,0.33944892000394056
31,immrep_test,onehot_vicreg,5,0.13119999999999998,0.21518959082632227,0.04809619238476955,2.7278666666666656,1.3131674448619988,0.34124374477309694
31,immrep_test,onehot_vicreg,10,0.122,0.1773020022447575,0.04809619238476955,2.5365833333333327,1.7827228249198392,0.39108255865765174
31,immrep_test,onehot_vicreg,20,0.10180000000000002,0.12635964545692585,0.04809619238476955,2.1165916666666664,2.2276481131816244,0.3528642732648824
37,immrep_test,onehot_vicreg,5,0.1352,0.1995017794406857,0.04809619238476955,2.811033333333332,1.3148288834865165,0.2848999183172959
37,immrep_test,onehot_vicreg,10,0.1196,0.15249865573178015,0.04809619238476955,2.4866833333333327,1.8040612886734018,0.30340328053903304
37,immrep_test,onehot_vicreg,20,0.10410000000000001,0.11953321714067601,0.04809619238476955,2.1644124999999996,2.208477913041199,0.30682430731188287
43,immrep_test,onehot_vicreg,5,0.16040000000000001,0.22367798282352247,0.04809619238476955,3.3349833333333327,1.288176985564311,0.34084170756982274
43,immrep_test,onehot_vicreg,10,0.132,0.16557777628655362,0.04809619238476955,2.7444999999999995,1.7943633483541852,0.3250015883156428
43,immrep_test,onehot_vicreg,20,0.10860000000000002,0.12056550086985912,0.04809619238476955,2.2579749999999996,2.1933383587459074,0.33364081338542667
49,immrep_test,onehot_vicreg,5,0.1232,0.17487641350393712,0.04809619238476955,2.5615333333333328,1.3402741605296802,0.283027694380558
49,immrep_test,onehot_vicreg,10,0.1114,0.1296535383242586,0.04809619238476955,2.316191666666666,1.833879468675464,0.29835352725129205
49,immrep_test,onehot_vicreg,20,0.09720000000000001,0.10070829161494102,0.04809619238476955,2.0209499999999996,2.248604476120146,0.31103055404300817
55,immrep_test,onehot_vicreg,5,0.164,0.25168233946783,0.04809619238476955,3.4098333333333324,1.2513030836465981,0.3905959875410387
55,immrep_test,onehot_vicreg,10,0.1318,0.1839803250350428,0.04809619238476955,2.740341666666666,1.7574935751715526,0.36038458245810445
55,immrep_test,onehot_vicreg,20,0.1129,0.13456816116749162,0.04809619238476955,2.347379166666666,2.176846437666945,0.32764924100076637
31,immrep_test,raw_esmc_vicreg,5,0.0972,0.15307566756346352,0.04809619238476955,2.020949999999999,1.4032847180315444,0.23219241680333877
31,immrep_test,raw_esmc_vicreg,10,0.0854,0.10605111974892108,0.04809619238476955,1.775608333333333,1.8977122222445524,0.24125036636562516
31,immrep_test,raw_esmc_vicreg,20,0.07510000000000003,0.07971819114857034,0.04809619238476955,1.5614541666666668,2.333046208335375,0.21838115456900425
37,immrep_test,raw_esmc_vicreg,5,0.094,0.1529836592581051,0.04809619238476955,1.954416666666666,1.3970105741988692,0.25491091927074383
37,immrep_test,raw_esmc_vicreg,10,0.09020000000000002,0.12117739063043073,0.04809619238476955,1.8754083333333331,1.8920977484283488,0.2607733583121051
37,immrep_test,raw_esmc_vicreg,20,0.082,0.09190212184710428,0.04809619238476955,1.7049166666666662,2.3149079516428492,0.23354638461154803
43,immrep_test,raw_esmc_vicreg,5,0.1008,0.16024780809733405,0.04809619238476955,2.095799999999999,1.37556483774344,0.2549094804822205
43,immrep_test,raw_esmc_vicreg,10,0.0862,0.11273668435784336,0.04809619238476955,1.792241666666666,1.8960101395969031,0.23398936570423787
43,immrep_test,raw_esmc_vicreg,20,0.0835,0.08861574352224327,0.04809619238476955,1.7361041666666663,2.2950093461662964,0.22107406586979256
49,immrep_test,raw_esmc_vicreg,5,0.0912,0.16000799980001,0.04809619238476955,1.8961999999999994,1.3907292683400747,0.24799628586929406
49,immrep_test,raw_esmc_vicreg,10,0.08780000000000002,0.12128957086246121,0.04809619238476955,1.8255083333333333,1.8848950157099034,0.24972350006228475
49,immrep_test,raw_esmc_vicreg,20,0.08280000000000001,0.09313517058555269,0.04809619238476955,1.7215499999999997,2.2887217451017148,0.23035784287608882
55,immrep_test,raw_esmc_vicreg,5,0.1204,0.18542880035204887,0.04809619238476955,2.5033166666666657,1.3579670299772966,0.2642422544830768
55,immrep_test,raw_esmc_vicreg,10,0.1012,0.1227947881630161,0.04809619238476955,2.104116666666666,1.843049340868372,0.23776440625427564
55,immrep_test,raw_esmc_vicreg,20,0.09090000000000001,0.09264011010356152,0.04809619238476955,1.8899624999999995,2.2628218343436934,0.20448623862553736
31,immrep_test,finetuned_esmc_vicreg,5,0.0976,0.16221664526182264,0.04809619238476955,2.029266666666666,1.3837923761211497,0.24894599634368972
31,immrep_test,finetuned_esmc_vicreg,10,0.09220000000000002,0.12032938128320948,0.04809619238476955,1.9169916666666664,1.8970048397222572,0.22164015210084168
31,immrep_test,finetuned_esmc_vicreg,20,0.08280000000000001,0.08685712406014834,0.04809619238476955,1.7215499999999997,2.3091720559146185,0.2029715668793202
37,immrep_test,finetuned_esmc_vicreg,5,0.09920000000000001,0.15874306284055376,0.04809619238476955,2.062533333333333,1.4048291997963522,0.2392522679288422
37,immrep_test,finetuned_esmc_vicreg,10,0.0852,0.11144936069803182,0.04809619238476955,1.7714499999999995,1.9118415839011746,0.2395754650291061
37,immrep_test,finetuned_esmc_vicreg,20,0.0758,0.07709967574510285,0.04809619238476955,1.576008333333333,2.3299374703450804,0.20844585707471708
43,immrep_test,finetuned_esmc_vicreg,5,0.10880000000000001,0.179784760199523,0.04809619238476955,2.262133333333333,1.3820457571249554,0.2731778496277179
43,immrep_test,finetuned_esmc_vicreg,10,0.09720000000000001,0.13338725576306004,0.04809619238476955,2.0209499999999996,1.8891060982342252,0.263935379707244
43,immrep_test,finetuned_esmc_vicreg,20,0.0865,0.09748204962966259,0.04809619238476955,1.798479166666666,2.3078630082333382,0.23676517746465423
49,immrep_test,finetuned_esmc_vicreg,5,0.11719999999999998,0.17281249954792044,0.04809619238476955,2.436783333333332,1.367520065127535,0.2720397609902886
49,immrep_test,finetuned_esmc_vicreg,10,0.09819999999999998,0.1324264324068273,0.04809619238476955,2.041741666666666,1.8589361991426314,0.2744229636027059
49,immrep_test,finetuned_esmc_vicreg,20,0.0878,0.0981894087974869,0.04809619238476955,1.8255083333333328,2.273798171177349,0.24725705739412854
55,immrep_test,finetuned_esmc_vicreg,5,0.11359999999999999,0.18733670222356325,0.04809619238476955,2.3619333333333326,1.3528656159268138,0.28609899240995046
55,immrep_test,finetuned_esmc_vicreg,10,0.102,0.1351887569289695,0.04809619238476955,2.1207499999999992,1.8794664927877187,0.2696869623315293
55,immrep_test,finetuned_esmc_vicreg,20,0.0866,0.09316887892424165,0.04809619238476955,1.8005583333333328,2.3053668335225157,0.20848471439223293
31,test,onehot_composition,5,0.15035714285714286,0.24560395155698975,0.033931765908510096,4.431161739785351,1.3226501624390883,0.3722152914997281
31,test,onehot_composition,10,0.10803571428571429,0.1492471541109045,0.033931765908510096,3.1839107512709472,1.9116248641030527,0.28545003124224033
31,test,onehot_composition,20,0.07955357142857142,0.09188879529915826,0.033931765908510096,2.3445160986631515,2.420226116476871,0.20720463122350374
37,test,onehot_composition,5,0.15178571428571427,0.24443160848075646,0.033931765908510096,4.47326303897571,1.3013295252739754,0.3689667558010394
37,test,onehot_composition,10,0.11142857142857143,0.15415007264986672,0.033931765908510096,3.283901336848051,1.8812933660986533,0.2964098413307586
37,test,onehot_composition,20,0.08232142857142857,0.09180707783616864,0.033931765908510096,2.4260873658444737,2.3919385851800095,0.22637847926428684
43,test,onehot_composition,5,0.1475,0.23458359764850203,0.033931765908510096,4.346959141404631,1.337936188198326,0.35282765445343534
43,test,onehot_composition,10,0.10178571428571428,0.13860410145004914,0.033931765908510096,2.9997175673131236,1.9299867826823012,0.2612650482121462
43,test,onehot_composition,20,0.07544642857142857,0.08629153650827631,0.033931765908510096,2.2234748634908676,2.4305841262187884,0.218302333955021
49,test,onehot_composition,5,0.14392857142857143,0.23406103120026328,0.03393176590851009,4.241705893428733,1.3269783574787828,0.357466144842666
49,test,onehot_composition,10,0.10482142857142858,0.1461223933096177,0.03393176590851009,3.0891828280926386,1.9079756338301601,0.28905203654386885
49,test,onehot_composition,20,0.07660714285714287,0.08766365890057712,0.03393176590851009,2.257682169083036,2.4172528277715895,0.21675118918896824
55,test,onehot_composition,5,0.14892857142857144,0.24443578306135197,0.03393176590851009,4.389060440594992,1.3300680913961562,0.3711630892322976
55,test,onehot_composition,10,0.10821428571428572,0.14809633861174315,0.03393176590851009,3.1891734136697427,1.9057532479649804,0.2661836588575906
55,test,onehot_composition,20,0.07821428571428572,0.0873132117080543,0.03393176590851009,2.3050461306721903,2.420182347609144,0.20728787977022603
31,test,pretrained_esmc_meanpool,5,0.15678571428571428,0.24419771806919915,0.033931765908510096,4.620617586141969,1.296393516627935,0.3794185458750877
31,test,pretrained_esmc_meanpool,10,0.11196428571428571,0.14778023793623352,0.033931765908510096,3.2996893240444356,1.8758202548483829,0.29175758060320955
31,test,pretrained_esmc_meanpool,20,0.08285714285714287,0.08793695561744963,0.033931765908510096,2.441875353040859,2.377949801588776,0.2017871777698938
37,test,pretrained_esmc_meanpool,5,0.15035714285714286,0.22967340387815824,0.033931765908510096,4.431161739785351,1.3098365523019055,0.35702094032663356
37,test,pretrained_esmc_meanpool,10,0.10892857142857143,0.13690036224814553,0.033931765908510096,3.210224063264922,1.888603066162814,0.25115936110369413
37,test,pretrained_esmc_meanpool,20,0.07937499999999999,0.08066997638084267,0.033931765908510096,2.3392534362643564,2.385991933721464,0.17572173177563752
43,test,pretrained_esmc_meanpool,5,0.14857142857142858,0.2300576680144457,0.033931765908510096,4.378535115797401,1.334429656366567,0.3429370921825737
43,test,pretrained_esmc_meanpool,10,0.10428571428571429,0.1368635548751428,0.033931765908510096,3.073394840896253,1.8974768646551878,0.26218041079437504
43,test,pretrained_esmc_meanpool,20,0.07696428571428572,0.08175354170696615,0.033931765908510096,2.268207493880625,2.404083288199206,0.18603767127896007
