model_name,split,deterministic_baseline,n_seed_rows,seeds,run_names,global_auroc_mean,global_auroc_std,auprc_mean,auprc_std,global_auc0.1_mcclish_mean,global_auc0.1_mcclish_std,peptide_macro_auroc_mean,peptide_macro_auroc_std,peptide_weighted_auroc_mean,peptide_weighted_auroc_std,peptide_macro_auc0.1_mcclish_mean,peptide_macro_auc0.1_mcclish_std,peptide_weighted_auc0.1_mcclish_mean,peptide_weighted_auc0.1_mcclish_std,n_examples_mean,n_examples_std,n_positive_mean,n_positive_std,n_negative_mean,n_negative_std,n_peptides_total_mean,n_peptides_total_std,n_peptides_valid_mean,n_peptides_valid_std,mse_distance_mean_mean,mse_distance_mean_std,mse_distance_std_mean,mse_distance_std_std
onehot_composition,immrep_test,True,5,"31,37,43,49,55",onehot_vicreg_complete,0.5052248333333333,0.0,0.10380042582807938,1.5515838457795457e-17,0.4999163742690059,6.206335383118183e-17,0.5106833333333334,0.0,0.5106833333333333,0.0,0.5067602339181285,0.0,0.5067602339181286,0.0,10000.0,0.0,1000.0,0.0,9000.0,0.0,20.0,0.0,20.0,0.0,0.002440287731587887,0.0,0.0008151145302690566,0.0
pretrained_esmc_meanpool,immrep_test,True,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.5023711111111111,0.0,0.10116552235586511,0.0,0.49555,0.0,0.5006844444444444,0.0,0.5006844444444444,0.0,0.5028538011695907,0.0,0.5028538011695906,0.0,10000.0,0.0,1000.0,0.0,9000.0,0.0,20.0,0.0,20.0,0.0,0.0006147940875962377,0.0,8.616648119641468e-05,0.0
finetuned_esmc_meanpool,immrep_test,True,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.49876072222222223,6.206335383118183e-17,0.10559025761903836,1.5515838457795457e-17,0.5101269005847954,0.0,0.4984688888888889,0.0,0.4984688888888888,0.0,0.500561403508772,0.0,0.500561403508772,0.0,10000.0,0.0,1000.0,0.0,9000.0,0.0,20.0,0.0,20.0,0.0,0.0009207274415530264,0.0,0.00013817244325764477,0.0
onehot_vicreg,immrep_test,False,5,"31,37,43,49,55",onehot_vicreg_complete,0.5044986111111112,0.011458804378667989,0.1026216729975237,0.0028388990838928616,0.5011833918128655,0.004010059650453047,0.504262,0.011459097803454513,0.504262,0.011459097803454514,0.5013871345029239,0.002396656472002902,0.5013871345029239,0.0023966564720028704,10000.0,0.0,1000.0,0.0,9000.0,0.0,20.0,0.0,20.0,0.0,0.3651795506477356,0.024701386937499754,0.24756789803504944,0.012305834753275069
raw_esmc_vicreg,immrep_test,False,5,"31,37,43,49,55",esm_vicreg_raw_complete,0.5099064333333333,0.006384580106508131,0.10427323570864341,0.0030804798636073607,0.5029737426900585,0.0031016141818665153,0.5071862222222221,0.00705397207077749,0.5071862222222221,0.0070539720707774685,0.5051812865497076,0.0034561255083244576,0.5051812865497076,0.003456125508324466,10000.0,0.0,1000.0,0.0,9000.0,0.0,20.0,0.0,20.0,0.0,0.10957225412130356,0.005670873657916626,0.08938622921705246,0.004510419818695012
finetuned_esmc_vicreg,immrep_test,False,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.5039735999999999,0.004083166186563889,0.10098289502888422,0.002462043944643375,0.5003658479532164,0.003022774649419003,0.5109437777777778,0.004814463266368309,0.5109437777777778,0.0048144632663682735,0.5034479532163743,0.0028431807942565705,0.5034479532163743,0.0028431807942565627,10000.0,0.0,1000.0,0.0,9000.0,0.0,20.0,0.0,20.0,0.0,0.13589697927236558,0.018040291396355695,0.09127096235752105,0.012350732991385815
onehot_composition,test,True,5,"31,37,43,49,55",onehot_vicreg_complete,0.5070831024930748,0.0,0.5091321196305174,0.0,0.5016430966613209,0.0,0.5254346936687054,0.0,0.49866219351193697,6.206335383118183e-17,0.7085321277634095,0.0,0.548335326228008,0.0,3800.0,0.0,1900.0,0.0,1900.0,0.0,381.0,0.0,311.0,0.0,0.0029351133853197098,0.0,0.0008381598745472729,0.0
pretrained_esmc_meanpool,test,True,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.4985999999999999,6.206335383118183e-17,0.5013628592610189,0.0,0.5015279195217962,0.0,0.4208409233426119,6.206335383118183e-17,0.4962831108065938,0.0,0.6545257554146893,0.0,0.536542076563581,0.0,3800.0,0.0,1900.0,0.0,1900.0,0.0,381.0,0.0,311.0,0.0,0.0005575981340371072,0.0,7.557322533102706e-05,0.0
finetuned_esmc_meanpool,test,True,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.5252501385041551,0.0,0.5185710122133451,0.0,0.504419011517714,0.0,0.6056881822199306,0.0,0.5395708476255014,0.0,0.7426449988045952,0.0,0.5672929298424583,0.0,3800.0,0.0,1900.0,0.0,1900.0,0.0,381.0,0.0,311.0,0.0,0.0005367433186620474,0.0,0.0002609815273899585,0.0
onehot_vicreg,test,False,5,"31,37,43,49,55",onehot_vicreg_complete,0.7206653739612188,0.0025634187461736693,0.7051454216056737,0.003652993720681675,0.5644015162560139,0.0021447162001833157,0.6441209270574568,0.0337110286272678,0.7332388379602769,0.005824946614689733,0.7749055879185447,0.01893448373004102,0.656164790235904,0.0053617566088680815,3800.0,0.0,1900.0,0.0,1900.0,0.0,381.0,0.0,311.0,0.0,0.3288125157356262,0.003384475134301847,0.2736556053161621,0.005696107816046108
raw_esmc_vicreg,test,False,5,"31,37,43,49,55",esm_vicreg_raw_complete,0.7886876454293629,0.004302705336180549,0.7867829273342085,0.00401277566545811,0.6206213733780435,0.004737287386041003,0.72379036611766,0.012709928803388204,0.7729720587007621,0.003922362438960774,0.8181901288990581,0.006898181233158703,0.6765597194628117,0.003074682910154463,3800.0,0.0,1900.0,0.0,1900.0,0.0,381.0,0.0,311.0,0.0,0.18731932640075682,0.002425275518445367,0.13398307263851167,0.002373791854628683
finetuned_esmc_vicreg,test,False,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.7864548476454294,0.005034883931866257,0.7831432345938598,0.004800416182848628,0.6151902609709871,0.006403453167026246,0.7189133193458066,0.0217873268479125,0.7725860060289194,0.004916052794341961,0.8157255852837979,0.01193368474878274,0.6756712370232278,0.004494298001305229,3800.0,0.0,1900.0,0.0,1900.0,0.0,381.0,0.0,311.0,0.0,0.19635497629642487,0.006532945264853841,0.13505999445915223,0.00605977372690943
onehot_composition,val,True,5,"31,37,43,49,55",onehot_vicreg_complete,0.5042267140360428,0.0,0.5006877936749485,0.0,0.498633053711263,6.206335383118183e-17,0.46423544988827337,0.0,0.49973975928109604,6.206335383118183e-17,0.6738964444178518,0.0,0.5360880261799013,0.0,3342.0,0.0,1672.0,0.0,1670.0,0.0,349.0,0.0,269.0,0.0,0.002973355120047927,0.0,0.0008080568513832986,0.0
pretrained_esmc_meanpool,val,True,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.5007456379107813,0.0,0.5048849336729726,0.0,0.5019392089655994,0.0,0.3916401787414269,0.0,0.49424645948250845,0.0,0.6406906271565439,0.0,0.5306296894900484,0.0,3342.0,0.0,1672.0,0.0,1670.0,0.0,349.0,0.0,269.0,0.0,0.0005599266150966287,0.0,7.706854376010597e-05,0.0
finetuned_esmc_meanpool,val,True,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.5260085092971951,0.0,0.5215752973321737,0.0,0.504877804200212,0.0,0.5913875028954912,0.0,0.5385146459884756,0.0,0.7381485651694102,0.0,0.5644403352868828,0.0,3342.0,0.0,1672.0,0.0,1670.0,0.0,349.0,0.0,269.0,0.0,0.000499724003020674,0.0,0.00023211841471493244,0.0
onehot_vicreg,val,False,5,"31,37,43,49,55",onehot_vicreg_complete,0.7329251783514312,0.002207430133377544,0.7213334086958312,0.0031025250688781363,0.5727749989821416,0.004586256780992413,0.651352877736563,0.020528439964125744,0.749142174397979,0.004968336302162345,0.782964178858607,0.011156365294919268,0.6777003768028782,0.004067582962155503,3342.0,0.0,1672.0,0.0,1670.0,0.0,349.0,0.0,269.0,0.0,0.3431694746017456,0.0013147305866341083,0.2891731679439545,0.006132176805396025
raw_esmc_vicreg,val,False,5,"31,37,43,49,55",esm_vicreg_raw_complete,0.8090139816061658,0.004440920925064651,0.8029441279187596,0.00301563228329011,0.6246838983830376,0.004040863693165946,0.7668566380557629,0.012980321605527971,0.7965297959658969,0.005236553094438303,0.8410682460955711,0.009572870575573367,0.6909376452309186,0.002978518239125186,3342.0,0.0,1672.0,0.0,1670.0,0.0,349.0,0.0,269.0,0.0,0.1920072317123413,0.0010518992353312302,0.14166368544101715,0.0031345644241586204
finetuned_esmc_vicreg,val,False,5,"31,37,43,49,55",esm_vicreg_finetuned_complete,0.809098000171905,0.001813005653642662,0.7994701257954892,0.0026999384719289697,0.6180851593212467,0.0038026146065271087,0.7766807189988414,0.013444556262879825,0.799459665106465,0.005449568454491971,0.8410831395170357,0.008256231959519305,0.6883237693678868,0.004202759781520823,3342.0,0.0,1672.0,0.0,1670.0,0.0,349.0,0.0,269.0,0.0,0.19771876335144042,0.005241280527179946,0.14146648049354554,0.005421508958184328
