split,category,model,metric,mean,std,n_seeds,seeds,n_pairs,n_pos,n_neg,n_peptides,n_pep_n_le_2,frac_pairs_n_le_2,note
test,ALL,esm_vicreg_finetuned,global_auroc,0.7864548476454294,0.005034883931866257,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_finetuned,global_auprc,0.7831432345938598,0.004800416182848628,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_finetuned,pep_w_auroc,0.7725860060289195,0.004916052794341918,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_finetuned,pep_w_auroc_min2each,0.7838435845013665,0.003246718232675877,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_raw,global_auroc,0.7886876454293629,0.004302705336180549,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_raw,global_auprc,0.7867829273342085,0.00401277566545811,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_raw,pep_w_auroc,0.7729720587007622,0.003922362438960742,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,esm_vicreg_raw,pep_w_auroc_min2each,0.7829955557261694,0.0023945098804571945,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,finetuned_esmc_meanpool,global_auroc,0.5252501385041551,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,finetuned_esmc_meanpool,global_auprc,0.5185710122133451,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,finetuned_esmc_meanpool,pep_w_auroc,0.5395708476255016,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,finetuned_esmc_meanpool,pep_w_auroc_min2each,0.5270210531634657,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_composition,global_auroc,0.5070831024930748,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_composition,global_auprc,0.5091321196305174,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_composition,pep_w_auroc,0.4986621935119371,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_composition,pep_w_auroc_min2each,0.49135360213523416,6.206335383118183e-17,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_vicreg,global_auroc,0.7206653739612188,0.0025634187461736693,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_vicreg,global_auprc,0.7051454216056737,0.003652993720681675,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_vicreg,pep_w_auroc,0.7332388379602769,0.0058249466146896856,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,onehot_vicreg,pep_w_auroc_min2each,0.7478955208060867,0.0041200270965607985,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,pretrained_esmc_meanpool,global_auroc,0.4985999999999999,6.206335383118183e-17,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
test,ALL,pretrained_esmc_meanpool,global_auprc,0.5013628592610189,0.0,5,"31,37,43,49,55",3800,1900,1900,381,275.0,0.1268421052631579,
