model,model_label,stage,side,metric,test,immrep,immrep_minus_test,rel_change,immrep_minus_test_ci_low,immrep_minus_test_ci_high
onehot_vicreg,One-hot + VICReg,input,tcr,covariance_trace,0.002330581240480663,0.002397732292566164,6.715105208550095e-05,0.028813006351862507,,
onehot_vicreg,One-hot + VICReg,input,tcr,median_pairwise_cosine,0.036226087044103183,0.03532562188519404,-0.0009004651589091459,-0.024856815416273947,,
onehot_vicreg,One-hot + VICReg,input,peptide,covariance_trace,0.0,0.0,0.0,0.0,,
onehot_vicreg,One-hot + VICReg,input,peptide,median_pairwise_cosine,-1.0641115251998305e-17,1.1102230246251566e-17,2.174334549824987e-17,2.174334549824987e-05,,
onehot_vicreg,One-hot + VICReg,input,hla,covariance_trace,6.135663582533549e-07,0.0,-6.135663582533549e-07,-1.0,,
onehot_vicreg,One-hot + VICReg,input,hla,median_pairwise_cosine,4.322347865413348e-06,5.551115123125783e-17,-4.322347865357837e-06,-0.9999999999871572,,
onehot_vicreg,One-hot + VICReg,input,pmhc,covariance_trace,6.135663582533549e-07,0.0,-6.135663582533549e-07,-1.0,,
onehot_vicreg,One-hot + VICReg,input,pmhc,median_pairwise_cosine,2.2957395018180804e-06,-1.0547118733938987e-16,-2.2957395019235517e-06,-1.0000000000459421,,
onehot_vicreg,One-hot + VICReg,input,tcr,cliffs_delta_pn_vs_pp,0.18250028454503534,0.12198441316118284,-0.06051587138385249,,-0.18676020364685883,0.06826289047489899
onehot_vicreg,One-hot + VICReg,pre_expander,tcr,covariance_trace,43.24198088111838,39.43190700754672,-3.8100738735716604,-0.08811053045988765,,
onehot_vicreg,One-hot + VICReg,pre_expander,tcr,median_pairwise_cosine,0.700614502495892,0.7053617751056083,0.004747272609716302,0.006775869744066763,,
onehot_vicreg,One-hot + VICReg,pre_expander,peptide,covariance_trace,1.482052580077713e-15,3.579777046311791e-16,-1.124074875446534e-15,-0.001124074875446534,,
onehot_vicreg,One-hot + VICReg,pre_expander,peptide,median_pairwise_cosine,6.200223153497679e-17,-2.442490654175344e-17,-8.642713807673023e-17,-8.642713807673023e-05,,
onehot_vicreg,One-hot + VICReg,pre_expander,hla,covariance_trace,0.0579744869279473,6.229883830754511e-16,-0.057974486927946677,-0.9999999999999892,,
onehot_vicreg,One-hot + VICReg,pre_expander,hla,median_pairwise_cosine,0.0006164634241164906,-6.661338147750939e-17,-0.0006164634241165571,-1.000000000000108,,
onehot_vicreg,One-hot + VICReg,pre_expander,pmhc,covariance_trace,0.0579744869279488,9.809660877066304e-16,-0.05797448692794782,-0.9999999999999831,,
onehot_vicreg,One-hot + VICReg,pre_expander,pmhc,median_pairwise_cosine,0.0006017995183382272,-6.6613381477509405e-18,-0.0006017995183382339,-1.0000000000000109,,
onehot_vicreg,One-hot + VICReg,pre_expander,tcr,cliffs_delta_pn_vs_pp,0.25689949085275615,0.1092477201166181,-0.14765177073613805,,-0.26133917768290765,-0.03944159543190193
onehot_vicreg,One-hot + VICReg,final_latent,tcr,covariance_trace,49.946221833339735,52.60436744638222,2.6581456130424854,0.0532201539069796,,
onehot_vicreg,One-hot + VICReg,final_latent,tcr,median_pairwise_cosine,0.6855507420499088,0.6900288757244265,0.004478133674517659,0.006532169538796365,,
onehot_vicreg,One-hot + VICReg,final_latent,peptide,covariance_trace,2.7040509747144624e-15,7.489957603943783e-16,-1.955055214320084e-15,-0.001955055214320084,,
onehot_vicreg,One-hot + VICReg,final_latent,peptide,median_pairwise_cosine,4.334480945980642e-17,-2.6645352591003762e-17,-6.999016205081018e-17,-6.999016205081017e-05,,
onehot_vicreg,One-hot + VICReg,final_latent,hla,covariance_trace,0.03061370893678526,4.625542188961759e-16,-0.0306137089367848,-0.9999999999999849,,
onehot_vicreg,One-hot + VICReg,final_latent,hla,median_pairwise_cosine,0.0016672701366245487,-1.332267629550188e-16,-0.0016672701366246818,-1.00000000000008,,
onehot_vicreg,One-hot + VICReg,final_latent,pmhc,covariance_trace,0.03061370893678797,1.2115499792905543e-15,-0.03061370893678676,-0.9999999999999605,,
onehot_vicreg,One-hot + VICReg,final_latent,pmhc,median_pairwise_cosine,0.00044298512394966207,-2.2204460492503132e-17,-0.0004429851239496843,-1.0000000000000502,,
onehot_vicreg,One-hot + VICReg,final_latent,tcr,cliffs_delta_pn_vs_pp,0.25329724553142735,0.10775980674718869,-0.14553743878423867,,-0.2545209240846861,-0.032515072880960415
raw_esmc_vicreg,Raw ESMC + VICReg,input,tcr,covariance_trace,0.01776073846800817,0.019382948156393447,0.0016222096883852788,0.09133683778449367,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,tcr,median_pairwise_cosine,0.03143592970166909,0.0326553728926264,0.0012194431909573061,0.038791383061674165,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,peptide,covariance_trace,9.495870826522728e-10,0.0,-9.495870826522728e-10,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,peptide,median_pairwise_cosine,1.3833449827597797e-17,4.4408920985006264e-17,3.0575471157408466e-17,3.057547115740847e-05,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,hla,covariance_trace,4.609009013354013e-06,0.0,-4.609009013354013e-06,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,hla,median_pairwise_cosine,7.605403177069492e-06,-1.1102230246251565e-16,-7.605403177180515e-06,-1.0000000000145979,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,pmhc,covariance_trace,4.609958600436665e-06,0.0,-4.609958600436665e-06,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,pmhc,median_pairwise_cosine,1.6852367442195874e-06,5.551115123125783e-18,-1.6852367442140364e-06,-0.9999999999967061,,
raw_esmc_vicreg,Raw ESMC + VICReg,input,tcr,cliffs_delta_pn_vs_pp,0.163097248903668,0.1228616476468138,-0.0402356012568542,,-0.15545774859846836,0.07352367079290538
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,tcr,covariance_trace,3.01676454465654,2.2162742946016647,-0.8004902500548754,-0.26534727460674645,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,tcr,median_pairwise_cosine,0.8630560544099376,0.4714041602191316,-0.391651894190806,-0.45379658967640785,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,peptide,covariance_trace,5.278891492148818e-09,0.0,-5.278891492148818e-09,-1.0,,
raw_esmc_vicreg,Raw ESMC + VICReg,pre_expander,peptide,median_pairwise_cosine,-2.958230040055529e-17,-1.221245327087672e-17,1.736984712967857e-17,1.736984712967857e-05,,
