analysis,metric,model,model_label,split,stage,side,peptide_balanced_mean,peptide_median,ci_low,ci_high,n_peptides,n_bootstrap,test_peptide_balanced_mean,test_ci_low,test_ci_high,immrep_peptide_balanced_mean,immrep_ci_low,immrep_ci_high,immrep_minus_test,immrep_minus_test_ci_low,immrep_minus_test_ci_high,immrep_div_test,immrep_div_test_ci_low,immrep_div_test_ci_high,n_peptides_test,n_peptides_immrep
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,0.07277326550949209,0.07267710775797104,0.07043570307579024,0.07525007218280481,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,3.2219439318999234e-05,3.224566766527957e-05,3.175588651784195e-05,3.266941432830212e-05,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,0.021452958523408727,0.02148502039850298,0.021398708881304754,0.021509277812709282,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,0.23718919516853665,0.23157189601611033,0.22594590906389594,0.24971737977874164,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,3.45473905957586e-05,3.228076665839021e-05,3.303595566607077e-05,3.624264804006243e-05,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,0.030599001560489388,0.02987083884556844,0.02972522408190557,0.03147273224154738,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,0.16249212586159728,0.165411348852532,0.1555033222361115,0.16945434043651847,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,2.179377803494008e-05,2.401767525159948e-05,2.0572496952698585e-05,2.308067520042289e-05,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,0.02329965034610039,0.023058324437398046,0.022813953801807247,0.023749383218198382,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,0.29601769653443893,0.2956298513019604,0.2936056542307139,0.2984619536079808,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,0.0002085878148391198,0.00020893911044849773,0.0002079689950154156,0.00020921237826577272,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,tcr,0.3066366227494614,0.30666772515727814,0.3047147430239471,0.3085030647059661,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,test,final_latent,tcr,0.3834493656068736,0.33777799703385514,0.3594249048676158,0.4086867261853961,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,test,input,tcr,0.00021061400671981549,0.00020244316309664883,0.0002019354226794933,0.00021881631906309508,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,test,pre_expander,tcr,0.33849656195579125,0.33645257135261025,0.33282118797756743,0.34387095698553355,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,train,final_latent,tcr,0.28471664980505484,0.2537759284219689,0.2722485971115792,0.2966678405436824,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,train,input,tcr,0.00013944149861873386,0.00015410749154281915,0.0001313453421110791,0.000147018630219791,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,train,pre_expander,tcr,0.260894358134059,0.28059698174182934,0.2542257217422069,0.2676493567205304,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,final_latent,tcr,0.06182655600641027,0.06159044719249657,0.05962262320234426,0.06419478482589844,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,input,tcr,3.594876358004459e-05,3.5962341195671535e-05,3.5546472436158657e-05,3.635092719797035e-05,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,pre_expander,tcr,0.016785395154866083,0.016788872059875525,0.016750125137105255,0.016820167280351104,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,test,final_latent,tcr,0.23285838785731813,0.23546343542030845,0.2216320216450753,0.24434377537147925,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,test,input,tcr,3.635566090915092e-05,3.308034444576367e-05,3.4600314115773615e-05,3.818639078990204e-05,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,test,pre_expander,tcr,0.023514464215947387,0.023136865916054572,0.022831251653354506,0.024166089858365488,313.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,train,final_latent,tcr,0.1576414883258588,0.15330909862873837,0.15066203404075737,0.1646421503552386,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,train,input,tcr,2.5995485234327248e-05,2.7770791150281674e-05,2.4498825112083382e-05,2.7521707604268423e-05,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,train,pre_expander,tcr,0.017807212366752295,0.017801056605014853,0.01744167308304816,0.018184843545362317,568.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,0.00021061400671981549,0.0002019354226794933,0.00021881631906309508,0.0002085878148391198,0.0002079689950154156,0.00020921237826577272,-2.026191880695683e-06,-1.0363306657618548e-05,6.127186091369261e-06,0.9903795957721313,0.952651269584104,1.0303742634124728,313.0,20.0
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,0.33849656195579125,0.33282118797756743,0.34387095698553355,0.3066366227494614,0.3047147430239471,0.3085030647059661,-0.031859939206329846,-0.03800871949411845,-0.02574277363184745,0.9058781010293072,0.8894460125951146,0.9226515117516978,313.0,20.0
unnormalised_mse,median_pairwise_mse,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,0.3834493656068736,0.3594249048676158,0.4086867261853961,0.29601769653443893,0.2936056542307139,0.2984619536079808,-0.08743166907243466,-0.11199912150864903,-0.06563498522617522,0.7719864031224586,0.7252738212095883,0.8189588682440927,313.0,20.0
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,3.635566090915092e-05,3.4600314115773615e-05,3.818639078990204e-05,3.594876358004459e-05,3.5546472436158657e-05,3.635092719797035e-05,-4.0689732910633336e-07,-2.2743770548209644e-06,1.4960575052459151e-06,0.9888078687354047,0.9402015310509795,1.0435341759424084,313.0,20.0
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,0.023514464215947387,0.022831251653354506,0.024166089858365488,0.016785395154866083,0.016750125137105255,0.016820167280351104,-0.006729069061081304,-0.007400628986497686,-0.00611025712692395,0.7138327712133162,0.6937552722373541,0.7333239230934152,313.0,20.0
unnormalised_mse,median_pairwise_mse,raw_esmc_vicreg,Raw ESMC + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,0.23285838785731813,0.2216320216450753,0.24434377537147925,0.06182655600641027,0.05962262320234426,0.06419478482589844,-0.17103183185090787,-0.18267914443259992,-0.1595213694982624,0.2655113976151631,0.24932619440533949,0.28235718336022325,313.0,20.0
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,3.45473905957586e-05,3.303595566607077e-05,3.624264804006243e-05,3.2219439318999234e-05,3.175588651784195e-05,3.266941432830212e-05,-2.3279512767593636e-06,-3.970686952117683e-06,-6.516847366553161e-07,0.9326157131808048,0.8898537980675297,0.980204627217677,313.0,20.0
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,0.030599001560489388,0.02972522408190557,0.03147273224154738,0.021452958523408727,0.021398708881304754,0.021509277812709282,-0.009146043037080661,-0.010023964953602056,-0.008251858588352007,0.7010999519379618,0.6814651003284452,0.7220607235709648,313.0,20.0
unnormalised_mse,median_pairwise_mse,lora_esmc_vicreg,LoRA ESMC + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,0.23718919516853665,0.22594590906389594,0.24971737977874164,0.07277326550949209,0.07043570307579024,0.07525007218280481,-0.16441592965904456,-0.1764424130670661,-0.1525296056520889,0.3068152638984355,0.28920099091766266,0.32681301469619056,313.0,20.0
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,5.44727781843265,5.44727781796999,5.42341452449483,5.471141112323725,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,0.9189777750710639,0.9189777750710639,0.9185825082522049,0.9193730418899231,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,2.437422999617789,2.437422999553709,2.4301987087279566,2.4446472905418735,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,5.629630422356638,5.605275026503877,5.559045318128573,5.703074392656914,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,0.9341697781220242,0.9336521200721926,0.931645412438861,0.9366605964380407,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,test,pre_expander,tcr,2.130605163775141,2.112184525129961,2.1106524721355835,2.1497694731871833,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,train,final_latent,tcr,5.445697027776336,5.335954810096787,5.397020733981582,5.498177932142143,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,0.9269298498597383,0.9286438010380994,0.9251032058815928,0.928712169999891,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,tcr,2.2021118107106354,2.1892808513798983,2.186842053974404,2.2178202391244897,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,immrep_test,final_latent,tcr,7.850531029025591,7.850531028895484,7.835644807357789,7.865417250692057,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,immrep_test,input,tcr,0.2536525239499697,0.2536525239499696,0.25352873833044354,0.2537763095694958,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,immrep_test,pre_expander,tcr,7.489008790871663,7.489008790841494,7.466394746503756,7.511622835227215,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,test,final_latent,tcr,8.097460831600166,7.834313484615097,7.96295997033564,8.236430470812495,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,test,input,tcr,0.25135137505967625,0.2510962695117281,0.2509239423132814,0.25176518537071824,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,test,pre_expander,tcr,7.836450350005887,7.851187670996919,7.8015743390945165,7.873290381601381,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,train,final_latent,tcr,7.843026772542903,7.4062519404997165,7.725242066012209,7.969341076926781,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,train,input,tcr,0.25251571714544735,0.2515749695763478,0.2521808517104661,0.2528772432688436,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,train,pre_expander,tcr,7.696359504529063,7.692077509472647,7.670100899953608,7.7207642159026495,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,final_latent,tcr,5.225420221359371,5.225420221308044,5.170849793707267,5.279990648907804,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,input,tcr,0.7243270314276096,0.7243270314276096,0.72368893767626,0.7249651251789592,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,immrep_test,pre_expander,tcr,2.1382055755140135,2.138205575432343,2.1262319277864585,2.150254058584799,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,final_latent,tcr,5.737394677377856,5.732747644782135,5.658109361389886,5.823044174681845,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,input,tcr,0.7346704299770745,0.733543918378284,0.7330490771312246,0.7362989182618054,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,pre_expander,tcr,1.8583832703304248,1.8539105058713907,1.8404052944072034,1.8771938854362231,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,final_latent,tcr,5.35086879880807,5.29207040575738,5.295416166252674,5.406983874601955,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,input,tcr,0.7308615888023601,0.7284556562690917,0.7295131738921993,0.7321198361716541,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,pre_expander,tcr,1.9146298658352807,1.9037287613601657,1.8999369453754535,1.9294778365733145,925.0,2000,,,,,,,,,,,,,,
