seed,split,model,best_epoch,global_auroc,peptide_weighted_auroc,auprc
31,val,onehot_vicreg,1,0.4353017648912701,0.41280206623792226,0.45359874617748075
31,val,onehot_composition,1,0.5042267140360428,0.4997397592810961,0.5006877936749485
31,test,onehot_vicreg,1,0.4457393351800554,0.4270542337330245,0.45990237287430735
31,test,onehot_composition,1,0.5070831024930748,0.498662193511937,0.5091321196305174
31,immrep_test,onehot_vicreg,1,0.498989,0.49787999999999993,0.10116295462110776
31,immrep_test,onehot_composition,1,0.5052248333333333,0.5106833333333333,0.10380042582807937
37,val,onehot_vicreg,1,0.44391850270750366,0.4272419700812867,0.45774534411690776
37,val,onehot_composition,1,0.5042267140360428,0.4997397592810961,0.5006877936749485
37,test,onehot_vicreg,1,0.45186994459833796,0.4339933884168955,0.46810850628681683
37,test,onehot_composition,1,0.5070831024930748,0.498662193511937,0.5091321196305174
37,immrep_test,onehot_vicreg,1,0.5010854444444444,0.50056,0.0999763735139764
37,immrep_test,onehot_composition,1,0.5052248333333333,0.5106833333333333,0.10380042582807937
43,val,onehot_vicreg,1,0.43795966679082027,0.41780217479291926,0.45849389077476316
43,val,onehot_composition,1,0.5042267140360428,0.4997397592810961,0.5006877936749485
43,test,onehot_vicreg,1,0.4466313019390582,0.42425453669140367,0.4586344399307694
43,test,onehot_composition,1,0.5070831024930748,0.498662193511937,0.5091321196305174
43,immrep_test,onehot_vicreg,1,0.4988579444444445,0.498631111111111,0.09861069962837792
43,immrep_test,onehot_composition,1,0.5052248333333333,0.5106833333333333,0.10380042582807937
49,val,onehot_vicreg,1,0.43184378849955585,0.4047060249093502,0.44724237946625195
49,val,onehot_composition,1,0.5042267140360428,0.4997397592810961,0.5006877936749485
49,test,onehot_vicreg,1,0.4512770083102493,0.4365705677765048,0.46310251587104423
49,test,onehot_composition,1,0.5070831024930748,0.498662193511937,0.5091321196305174
49,immrep_test,onehot_vicreg,1,0.5011691666666667,0.5021822222222223,0.0995654271778793
49,immrep_test,onehot_composition,1,0.5052248333333333,0.5106833333333333,0.10380042582807937
55,val,onehot_vicreg,1,0.4432312408675472,0.4194148808607907,0.4618138741792779
55,val,onehot_composition,1,0.5042267140360428,0.4997397592810961,0.5006877936749485
55,test,onehot_vicreg,1,0.44774210526315794,0.4289179480222143,0.46228621042145013
55,test,onehot_composition,1,0.5070831024930748,0.498662193511937,0.5091321196305174
55,immrep_test,onehot_vicreg,1,0.5120495555555555,0.5054333333333333,0.1019982045867429
55,immrep_test,onehot_composition,1,0.5052248333333333,0.5106833333333333,0.10380042582807937
