model,model_label,split,stage,side,metric,peptide_balanced_mean,ci_low,ci_high,n_peptides
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,hla,mean_latent_norm,3.243844578206663,2.9294068155794797,3.5582823408338458,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,hla,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,hla,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,hla,median_pairwise_cosine,4.4408920985006264e-17,2.6645352591003756e-17,6.217248937900878e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,peptide,mean_latent_norm,3.255403219124569,3.057104673872949,3.4569916304641723,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,peptide,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,peptide,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,peptide,median_pairwise_cosine,-5.329070518200751e-17,-7.771561172376095e-17,-2.886579864025407e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,pmhc,mean_latent_norm,4.673955722046651,4.431904384095729,4.9185493092150745,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,pmhc,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,pmhc,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,pmhc,median_pairwise_cosine,-2.997602166487923e-17,-4.9960036108132046e-17,-9.992007221626408e-18,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,mean_latent_norm,5.447277854562273,5.423414561320056,5.47114114780449,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,covariance_trace,14.814130049723747,14.37226879094188,15.25599130850562,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,mean_var_per_dim,0.05786769550673339,0.05614167496461671,0.059593716048850075,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,median_pairwise_cosine,0.3228931967553139,0.3062578985373345,0.33961700626899977,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,hla,mean_latent_norm,1.1340467915720946,1.0824881499902577,1.1852851931441066,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,hla,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,hla,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,hla,median_pairwise_cosine,-1.1102230246251565e-16,-1.6653345369377348e-16,-6.661338147750939e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,peptide,mean_latent_norm,1.1133909123449006,1.0975132077034102,1.1303914812184535,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,peptide,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,peptide,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,peptide,median_pairwise_cosine,-6.106226635438361e-17,-1.5001888620247428e-16,2.7755575615628914e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,pmhc,mean_latent_norm,1.591874746453423,1.5479468114342856,1.6343127579507042,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,pmhc,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,pmhc,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,pmhc,median_pairwise_cosine,4.9960036108132046e-17,0.0,9.43689570931383e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,mean_latent_norm,0.9189777750710639,0.9185825082522049,0.9193730418899231,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,covariance_trace,0.016650876667978983,0.01640235560587166,0.016849693517664844,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,mean_var_per_dim,1.734466319581144e-05,1.708578708944965e-05,1.755176408090088e-05,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,median_pairwise_cosine,0.01748670585450674,0.017251883413692288,0.01772849832818559,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,hla,mean_latent_norm,2.516408075777999,2.3957174131089847,2.636349107001864,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,hla,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,hla,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,hla,median_pairwise_cosine,-2.2204460492503132e-17,-4.8849813083506894e-17,4.440892098500627e-18,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,peptide,mean_latent_norm,0.6132750725041376,0.5912588089175125,0.6388381277881824,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,peptide,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,peptide,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,peptide,median_pairwise_cosine,-3.33066907387547e-17,-7.216449660063518e-17,3.3306690738754683e-18,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,pmhc,mean_latent_norm,2.5926384679447523,2.472791542403526,2.7324837646651114,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,pmhc,covariance_trace,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,pmhc,mean_var_per_dim,0.0,0.0,0.0,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,pmhc,median_pairwise_cosine,-6.6613381477509405e-18,-3.4444669338995485e-17,2.331468351712829e-17,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,mean_latent_norm,2.437423005017748,2.4301987139542574,2.4446472960812384,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,covariance_trace,2.821141275736019,2.8154280033035506,2.8268545481684866,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,mean_var_per_dim,0.011020083108343823,0.010997765637904494,0.01104240057878315,20
lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,median_pairwise_cosine,0.4641554881121527,0.46004128641436837,0.468222402247406,20
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,mean_latent_norm,3.0046717577875155,2.930324538564246,3.080475302126219,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,covariance_trace,0.026460367467211855,9.64335033548576e-05,0.07281129478980243,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,mean_var_per_dim,0.0003436411359378163,1.252384903581761e-06,0.0010262554536603905,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,hla,median_pairwise_cosine,0.0012795594296597112,3.390968726970127e-17,0.003761648055131486,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,mean_latent_norm,3.865045608929115,3.762069527004247,3.974515020955917,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,covariance_trace,1.2895427996565602e-08,5.918513182761855e-18,3.655741343095391e-08,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,mean_var_per_dim,7.20414971875173e-11,3.3064319456770143e-20,2.0423135984615892e-10,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,peptide,median_pairwise_cosine,-1.8160836696743775e-17,-2.575327242904457e-17,-1.0568400964442992e-17,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,mean_latent_norm,4.999429352911687,4.916028400945825,5.087668758628378,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,covariance_trace,0.02646038036263985,9.644193132962927e-05,0.07288266853789653,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,mean_var_per_dim,0.00010336086079156192,3.7667818873574425e-07,0.0002845101086339684,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,pmhc,median_pairwise_cosine,0.0020243729990844666,-7.59243573230079e-18,0.006054845887002556,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,mean_latent_norm,5.629630417408633,5.558010167499297,5.702368003607049,381
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,covariance_trace,30.38067954147471,28.913936825807646,31.930214762898427,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,mean_var_per_dim,0.11867452945888558,0.11321643469520086,0.12462686570510942,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,median_pairwise_cosine,0.9301712380322967,0.8899931147239032,0.9704902764096516,313
lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,hla,mean_latent_norm,1.2046854327348033,1.1951503618354515,1.2139724422783076,381
